Year,Item_Key,Item_Name,World_Production_Tonnes,Climate_Sensitivity,Temp_Anomaly_C,YoY_Change_Pct
2000.0,tomatoes,토마토 (케찹),56700774.3,중간 (관개 시설 의존),0.4145357142857144,
2001.0,tomatoes,토마토 (케찹),55031635.14,중간 (관개 시설 의존),0.5200714285714286,-2.9437678419851787
2002.0,tomatoes,토마토 (케찹),60609844.09,중간 (관개 시설 의존),0.5474642857142856,10.136367810640357
2003.0,tomatoes,토마토 (케찹),61674945.879999995,중간 (관개 시설 의존),0.5516428571428571,1.7573082491656233
2004.0,tomatoes,토마토 (케찹),67581128.9,중간 (관개 시설 의존),0.5153214285714285,9.576308395132727
2005.0,tomatoes,토마토 (케찹),67149153.24,중간 (관개 시설 의존),0.5318571428571429,-0.6391956852913827
2006.0,tomatoes,토마토 (케찹),69524168.39,중간 (관개 시설 의존),0.5726071428571429,3.5369249430612815
2007.0,tomatoes,토마토 (케찹),75506256.89,중간 (관개 시설 의존),0.5615357142857142,8.604329456259174
2008.0,tomatoes,토마토 (케찹),79123391.35,중간 (관개 시설 의존),0.4383928571428571,4.790509567001244
2009.0,tomatoes,토마토 (케찹),89128521.78,중간 (관개 시설 의존),0.6052142857142858,12.644971681942451
2010.0,tomatoes,토마토 (케찹),87932077.0,중간 (관개 시설 의존),0.6619285714285715,-1.3423814914750198
2011.0,tomatoes,토마토 (케찹),93666399.0,중간 (관개 시설 의존),0.5001428571428572,6.521308486776678
2012.0,tomatoes,토마토 (케찹),95517886.9,중간 (관개 시설 의존),0.5518928571428571,1.9766831219806047
2013.0,tomatoes,토마토 (케찹),96361516.0,중간 (관개 시설 의존),0.5512142857142858,0.8832158325311479
2014.0,tomatoes,토마토 (케찹),101135339.07,중간 (관개 시설 의존),0.5937857142857143,4.954076345166669
2015.0,tomatoes,토마토 (케찹),100703845.28,중간 (관개 시설 의존),0.7192857142857143,-0.42664986736370425
2016.0,tomatoes,토마토 (케찹),102799443.46000001,중간 (관개 시설 의존),0.8813928571428571,2.0809515010805635
2017.0,tomatoes,토마토 (케찹),103811617.87,중간 (관개 시설 의존),0.7801071428571428,0.9846107876973376
2018.0,tomatoes,토마토 (케찹),105975398.81,중간 (관개 시설 의존),0.7523571428571427,2.0843340893787365
2019.0,tomatoes,토마토 (케찹),105432393.59,중간 (관개 시설 의존),0.7682857142857141,-0.5123879939093579
2020.0,tomatoes,토마토 (케찹),105294545.55,중간 (관개 시설 의존),0.8126071428571428,-0.13074543345383827
2021.0,tomatoes,토마토 (케찹),106344103.72,중간 (관개 시설 의존),0.7775714285714285,0.9967830380174902
2022.0,tomatoes,토마토 (케찹),105332458.68,중간 (관개 시설 의존),0.8031071428571428,-0.9512939642273066
2023.0,tomatoes,토마토 (케찹),107454727.05,중간 (관개 시설 의존),0.9676785714285715,2.0148284741434264
2024.0,tomatoes,토마토 (케찹),107250962.42,중간 (관개 시설 의존),1.1169285714285715,-0.18962835381377552
2000.0,eggs,계란 (마요네즈),639800982.6700001,간접적 (사료 작물 영향),0.4145357142857144,
2001.0,eggs,계란 (마요네즈),651076663.48,간접적 (사료 작물 영향),0.5200714285714286,1.762373162189368
2002.0,eggs,계란 (마요네즈),664605798.29,간접적 (사료 작물 영향),0.5474642857142856,2.0779634056743435
